readiness_id,initiative_id,readiness_dimension,readiness_score,assessment_status,assessment_note
RDY-00046,TR-0010,Technology,44,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00047,TR-0010,Data,50,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00048,TR-0010,Process,44,Not Ready,Process readiness assessment for transformation initiative.
RDY-00049,TR-0010,People,46,Not Ready,People readiness assessment for transformation initiative.
RDY-00050,TR-0010,Governance,79,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00051,TR-0011,Technology,77,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00052,TR-0011,Data,74,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00053,TR-0011,Process,87,Ready,Process readiness assessment for transformation initiative.
RDY-00054,TR-0011,People,39,Not Ready,People readiness assessment for transformation initiative.
RDY-00055,TR-0011,Governance,72,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00056,TR-0012,Technology,42,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00057,TR-0012,Data,93,Ready,Data readiness assessment for transformation initiative.
RDY-00058,TR-0012,Process,73,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00059,TR-0012,People,81,Ready,People readiness assessment for transformation initiative.
RDY-00060,TR-0012,Governance,69,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00061,TR-0013,Technology,58,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00062,TR-0013,Data,76,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00063,TR-0013,Process,85,Ready,Process readiness assessment for transformation initiative.
RDY-00064,TR-0013,People,45,Not Ready,People readiness assessment for transformation initiative.
RDY-00065,TR-0013,Governance,88,Ready,Governance readiness assessment for transformation initiative.
RDY-00066,TR-0014,Technology,79,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00067,TR-0014,Data,40,Not Ready,Data readiness assessment for transformation initiative.
RDY-00068,TR-0014,Process,92,Ready,Process readiness assessment for transformation initiative.
RDY-00069,TR-0014,People,45,Not Ready,People readiness assessment for transformation initiative.
RDY-00070,TR-0014,Governance,71,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00071,TR-0015,Technology,42,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00072,TR-0015,Data,46,Not Ready,Data readiness assessment for transformation initiative.
RDY-00073,TR-0015,Process,74,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00074,TR-0015,People,76,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00075,TR-0015,Governance,76,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00076,TR-0016,Technology,55,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00077,TR-0016,Data,85,Ready,Data readiness assessment for transformation initiative.
RDY-00078,TR-0016,Process,38,Not Ready,Process readiness assessment for transformation initiative.
RDY-00079,TR-0016,People,87,Ready,People readiness assessment for transformation initiative.
RDY-00080,TR-0016,Governance,53,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00081,TR-0017,Technology,72,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00082,TR-0017,Data,90,Ready,Data readiness assessment for transformation initiative.
RDY-00083,TR-0017,Process,50,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00084,TR-0017,People,60,Remediation Required,People readiness assessment for transformation initiative.
RDY-00085,TR-0017,Governance,85,Ready,Governance readiness assessment for transformation initiative.
RDY-00086,TR-0018,Technology,87,Ready,Technology readiness assessment for transformation initiative.
RDY-00087,TR-0018,Data,49,Not Ready,Data readiness assessment for transformation initiative.
RDY-00088,TR-0018,Process,66,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00089,TR-0018,People,55,Remediation Required,People readiness assessment for transformation initiative.
RDY-00090,TR-0018,Governance,66,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00091,TR-0019,Technology,58,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00092,TR-0019,Data,35,Not Ready,Data readiness assessment for transformation initiative.
RDY-00093,TR-0019,Process,91,Ready,Process readiness assessment for transformation initiative.
RDY-00094,TR-0019,People,73,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00095,TR-0019,Governance,63,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00096,TR-0020,Technology,41,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00097,TR-0020,Data,39,Not Ready,Data readiness assessment for transformation initiative.
RDY-00098,TR-0020,Process,64,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00099,TR-0020,People,74,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00100,TR-0020,Governance,50,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00101,TR-0021,Technology,80,Ready,Technology readiness assessment for transformation initiative.
RDY-00102,TR-0021,Data,58,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00103,TR-0021,Process,35,Not Ready,Process readiness assessment for transformation initiative.
RDY-00104,TR-0021,People,67,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00105,TR-0021,Governance,46,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00106,TR-0022,Technology,35,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00107,TR-0022,Data,42,Not Ready,Data readiness assessment for transformation initiative.
RDY-00108,TR-0022,Process,52,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00109,TR-0022,People,66,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00110,TR-0022,Governance,95,Ready,Governance readiness assessment for transformation initiative.
RDY-00111,TR-0023,Technology,48,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00112,TR-0023,Data,38,Not Ready,Data readiness assessment for transformation initiative.
RDY-00113,TR-0023,Process,46,Not Ready,Process readiness assessment for transformation initiative.
RDY-00114,TR-0023,People,54,Remediation Required,People readiness assessment for transformation initiative.
RDY-00115,TR-0023,Governance,47,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00116,TR-0024,Technology,54,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00117,TR-0024,Data,94,Ready,Data readiness assessment for transformation initiative.
RDY-00118,TR-0024,Process,58,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00119,TR-0024,People,73,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00120,TR-0024,Governance,76,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00121,TR-0025,Technology,42,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00122,TR-0025,Data,50,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00123,TR-0025,Process,60,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00124,TR-0025,People,63,Remediation Required,People readiness assessment for transformation initiative.
RDY-00125,TR-0025,Governance,35,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00126,TR-0026,Technology,74,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00127,TR-0026,Data,53,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00128,TR-0026,Process,54,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00129,TR-0026,People,71,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00130,TR-0026,Governance,92,Ready,Governance readiness assessment for transformation initiative.
RDY-00131,TR-0027,Technology,87,Ready,Technology readiness assessment for transformation initiative.
RDY-00132,TR-0027,Data,94,Ready,Data readiness assessment for transformation initiative.
RDY-00133,TR-0027,Process,60,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00134,TR-0027,People,42,Not Ready,People readiness assessment for transformation initiative.
RDY-00135,TR-0027,Governance,48,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00136,TR-0028,Technology,55,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00137,TR-0028,Data,53,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00138,TR-0028,Process,47,Not Ready,Process readiness assessment for transformation initiative.
RDY-00139,TR-0028,People,44,Not Ready,People readiness assessment for transformation initiative.
RDY-00140,TR-0028,Governance,46,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00141,TR-0029,Technology,75,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00142,TR-0029,Data,64,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00143,TR-0029,Process,37,Not Ready,Process readiness assessment for transformation initiative.
RDY-00144,TR-0029,People,69,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00145,TR-0029,Governance,86,Ready,Governance readiness assessment for transformation initiative.
RDY-00146,TR-0030,Technology,60,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00147,TR-0030,Data,54,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00148,TR-0030,Process,51,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00149,TR-0030,People,58,Remediation Required,People readiness assessment for transformation initiative.
RDY-00150,TR-0030,Governance,51,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00151,TR-0031,Technology,91,Ready,Technology readiness assessment for transformation initiative.
RDY-00152,TR-0031,Data,95,Ready,Data readiness assessment for transformation initiative.
RDY-00153,TR-0031,Process,55,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00154,TR-0031,People,91,Ready,People readiness assessment for transformation initiative.
RDY-00155,TR-0031,Governance,87,Ready,Governance readiness assessment for transformation initiative.
RDY-00156,TR-0032,Technology,39,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00157,TR-0032,Data,64,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00158,TR-0032,Process,75,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00159,TR-0032,People,60,Remediation Required,People readiness assessment for transformation initiative.
RDY-00160,TR-0032,Governance,62,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00161,TR-0033,Technology,65,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00162,TR-0033,Data,77,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00163,TR-0033,Process,52,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00164,TR-0033,People,71,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00165,TR-0033,Governance,49,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00166,TR-0034,Technology,89,Ready,Technology readiness assessment for transformation initiative.
RDY-00167,TR-0034,Data,40,Not Ready,Data readiness assessment for transformation initiative.
RDY-00168,TR-0034,Process,39,Not Ready,Process readiness assessment for transformation initiative.
RDY-00169,TR-0034,People,37,Not Ready,People readiness assessment for transformation initiative.
RDY-00170,TR-0034,Governance,56,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00171,TR-0035,Technology,71,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00172,TR-0035,Data,95,Ready,Data readiness assessment for transformation initiative.
RDY-00173,TR-0035,Process,62,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00174,TR-0035,People,46,Not Ready,People readiness assessment for transformation initiative.
RDY-00175,TR-0035,Governance,57,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00176,TR-0036,Technology,42,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00177,TR-0036,Data,63,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00178,TR-0036,Process,79,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00179,TR-0036,People,37,Not Ready,People readiness assessment for transformation initiative.
RDY-00180,TR-0036,Governance,82,Ready,Governance readiness assessment for transformation initiative.
RDY-00181,TR-0037,Technology,48,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00182,TR-0037,Data,76,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00183,TR-0037,Process,84,Ready,Process readiness assessment for transformation initiative.
RDY-00184,TR-0037,People,82,Ready,People readiness assessment for transformation initiative.
RDY-00185,TR-0037,Governance,75,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00186,TR-0038,Technology,77,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00187,TR-0038,Data,46,Not Ready,Data readiness assessment for transformation initiative.
RDY-00188,TR-0038,Process,43,Not Ready,Process readiness assessment for transformation initiative.
RDY-00189,TR-0038,People,58,Remediation Required,People readiness assessment for transformation initiative.
RDY-00190,TR-0038,Governance,72,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00191,TR-0039,Technology,72,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00192,TR-0039,Data,82,Ready,Data readiness assessment for transformation initiative.
RDY-00193,TR-0039,Process,53,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00194,TR-0039,People,87,Ready,People readiness assessment for transformation initiative.
RDY-00195,TR-0039,Governance,62,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00196,TR-0040,Technology,50,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00197,TR-0040,Data,79,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00198,TR-0040,Process,42,Not Ready,Process readiness assessment for transformation initiative.
RDY-00199,TR-0040,People,59,Remediation Required,People readiness assessment for transformation initiative.
RDY-00200,TR-0040,Governance,82,Ready,Governance readiness assessment for transformation initiative.
RDY-00201,TR-0041,Technology,82,Ready,Technology readiness assessment for transformation initiative.
RDY-00202,TR-0041,Data,50,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00203,TR-0041,Process,45,Not Ready,Process readiness assessment for transformation initiative.
RDY-00204,TR-0041,People,36,Not Ready,People readiness assessment for transformation initiative.
RDY-00205,TR-0041,Governance,40,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00206,TR-0042,Technology,85,Ready,Technology readiness assessment for transformation initiative.
RDY-00207,TR-0042,Data,82,Ready,Data readiness assessment for transformation initiative.
RDY-00208,TR-0042,Process,65,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00209,TR-0042,People,69,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00210,TR-0042,Governance,54,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00211,TR-0043,Technology,46,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00212,TR-0043,Data,35,Not Ready,Data readiness assessment for transformation initiative.
RDY-00213,TR-0043,Process,75,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00214,TR-0043,People,37,Not Ready,People readiness assessment for transformation initiative.
RDY-00215,TR-0043,Governance,41,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00216,TR-0044,Technology,83,Ready,Technology readiness assessment for transformation initiative.
RDY-00217,TR-0044,Data,70,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00218,TR-0044,Process,64,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00219,TR-0044,People,48,Not Ready,People readiness assessment for transformation initiative.
RDY-00220,TR-0044,Governance,44,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00221,TR-0045,Technology,63,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00222,TR-0045,Data,56,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00223,TR-0045,Process,67,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00224,TR-0045,People,45,Not Ready,People readiness assessment for transformation initiative.
RDY-00225,TR-0045,Governance,49,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00226,TR-0046,Technology,41,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00227,TR-0046,Data,60,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00228,TR-0046,Process,51,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00229,TR-0046,People,48,Not Ready,People readiness assessment for transformation initiative.
RDY-00230,TR-0046,Governance,68,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00231,TR-0047,Technology,65,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00232,TR-0047,Data,47,Not Ready,Data readiness assessment for transformation initiative.
RDY-00233,TR-0047,Process,77,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00234,TR-0047,People,55,Remediation Required,People readiness assessment for transformation initiative.
RDY-00235,TR-0047,Governance,55,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00236,TR-0048,Technology,64,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00237,TR-0048,Data,43,Not Ready,Data readiness assessment for transformation initiative.
RDY-00238,TR-0048,Process,60,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00239,TR-0048,People,70,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00240,TR-0048,Governance,42,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00241,TR-0049,Technology,69,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00242,TR-0049,Data,37,Not Ready,Data readiness assessment for transformation initiative.
RDY-00243,TR-0049,Process,71,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00244,TR-0049,People,37,Not Ready,People readiness assessment for transformation initiative.
RDY-00245,TR-0049,Governance,45,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00246,TR-0050,Technology,56,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00247,TR-0050,Data,72,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00248,TR-0050,Process,78,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00249,TR-0050,People,63,Remediation Required,People readiness assessment for transformation initiative.
RDY-00250,TR-0050,Governance,43,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00251,TR-0051,Technology,58,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00252,TR-0051,Data,83,Ready,Data readiness assessment for transformation initiative.
RDY-00253,TR-0051,Process,40,Not Ready,Process readiness assessment for transformation initiative.
RDY-00254,TR-0051,People,78,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00255,TR-0051,Governance,58,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00256,TR-0052,Technology,35,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00257,TR-0052,Data,77,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00258,TR-0052,Process,36,Not Ready,Process readiness assessment for transformation initiative.
RDY-00259,TR-0052,People,57,Remediation Required,People readiness assessment for transformation initiative.
RDY-00260,TR-0052,Governance,46,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00261,TR-0053,Technology,70,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00262,TR-0053,Data,38,Not Ready,Data readiness assessment for transformation initiative.
RDY-00263,TR-0053,Process,40,Not Ready,Process readiness assessment for transformation initiative.
RDY-00264,TR-0053,People,67,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00265,TR-0053,Governance,95,Ready,Governance readiness assessment for transformation initiative.
RDY-00266,TR-0054,Technology,37,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00267,TR-0054,Data,63,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00268,TR-0054,Process,83,Ready,Process readiness assessment for transformation initiative.
RDY-00269,TR-0054,People,52,Remediation Required,People readiness assessment for transformation initiative.
RDY-00270,TR-0054,Governance,65,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00271,TR-0055,Technology,86,Ready,Technology readiness assessment for transformation initiative.
RDY-00272,TR-0055,Data,79,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00273,TR-0055,Process,52,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00274,TR-0055,People,80,Ready,People readiness assessment for transformation initiative.
RDY-00275,TR-0055,Governance,76,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00276,TR-0056,Technology,65,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00277,TR-0056,Data,61,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00278,TR-0056,Process,91,Ready,Process readiness assessment for transformation initiative.
RDY-00279,TR-0056,People,88,Ready,People readiness assessment for transformation initiative.
RDY-00280,TR-0056,Governance,95,Ready,Governance readiness assessment for transformation initiative.
RDY-00281,TR-0057,Technology,76,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00282,TR-0057,Data,56,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00283,TR-0057,Process,41,Not Ready,Process readiness assessment for transformation initiative.
RDY-00284,TR-0057,People,42,Not Ready,People readiness assessment for transformation initiative.
RDY-00285,TR-0057,Governance,93,Ready,Governance readiness assessment for transformation initiative.
RDY-00286,TR-0058,Technology,57,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00287,TR-0058,Data,41,Not Ready,Data readiness assessment for transformation initiative.
RDY-00288,TR-0058,Process,48,Not Ready,Process readiness assessment for transformation initiative.
RDY-00289,TR-0058,People,36,Not Ready,People readiness assessment for transformation initiative.
RDY-00290,TR-0058,Governance,67,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00291,TR-0059,Technology,71,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00292,TR-0059,Data,58,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00293,TR-0059,Process,80,Ready,Process readiness assessment for transformation initiative.
RDY-00294,TR-0059,People,64,Remediation Required,People readiness assessment for transformation initiative.
RDY-00295,TR-0059,Governance,93,Ready,Governance readiness assessment for transformation initiative.
RDY-00296,TR-0060,Technology,81,Ready,Technology readiness assessment for transformation initiative.
RDY-00297,TR-0060,Data,39,Not Ready,Data readiness assessment for transformation initiative.
RDY-00298,TR-0060,Process,51,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00299,TR-0060,People,81,Ready,People readiness assessment for transformation initiative.
RDY-00300,TR-0060,Governance,67,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00301,TR-0061,Technology,80,Ready,Technology readiness assessment for transformation initiative.
RDY-00302,TR-0061,Data,55,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00303,TR-0061,Process,37,Not Ready,Process readiness assessment for transformation initiative.
RDY-00304,TR-0061,People,82,Ready,People readiness assessment for transformation initiative.
RDY-00305,TR-0061,Governance,82,Ready,Governance readiness assessment for transformation initiative.
RDY-00306,TR-0062,Technology,74,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00307,TR-0062,Data,59,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00308,TR-0062,Process,35,Not Ready,Process readiness assessment for transformation initiative.
RDY-00309,TR-0062,People,79,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00310,TR-0062,Governance,75,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00311,TR-0063,Technology,75,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00312,TR-0063,Data,45,Not Ready,Data readiness assessment for transformation initiative.
RDY-00313,TR-0063,Process,79,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00314,TR-0063,People,79,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00315,TR-0063,Governance,87,Ready,Governance readiness assessment for transformation initiative.
RDY-00316,TR-0064,Technology,69,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00317,TR-0064,Data,79,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00318,TR-0064,Process,59,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00319,TR-0064,People,77,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00320,TR-0064,Governance,77,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00321,TR-0065,Technology,82,Ready,Technology readiness assessment for transformation initiative.
RDY-00322,TR-0065,Data,87,Ready,Data readiness assessment for transformation initiative.
RDY-00323,TR-0065,Process,35,Not Ready,Process readiness assessment for transformation initiative.
RDY-00324,TR-0065,People,82,Ready,People readiness assessment for transformation initiative.
RDY-00325,TR-0065,Governance,83,Ready,Governance readiness assessment for transformation initiative.
RDY-00326,TR-0066,Technology,68,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00327,TR-0066,Data,66,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00328,TR-0066,Process,79,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00329,TR-0066,People,62,Remediation Required,People readiness assessment for transformation initiative.
RDY-00330,TR-0066,Governance,60,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00331,TR-0067,Technology,84,Ready,Technology readiness assessment for transformation initiative.
