risk_id,initiative_id,risk_name,risk_domain,description,likelihood,impact,control_effectiveness,status
RSK-00184,TR-0028,Operational risk for CRM Transformation Program 028,Operational,Potential operational risk associated with the transformation.,3,1,62.13,Accepted
RSK-00185,TR-0028,Compliance risk for CRM Transformation Program 028,Compliance,Potential compliance risk associated with the transformation.,1,3,58.73,Mitigated
RSK-00186,TR-0028,Financial risk for CRM Transformation Program 028,Financial,Potential financial risk associated with the transformation.,2,3,73.56,Open
RSK-00187,TR-0028,Data risk for CRM Transformation Program 028,Data,Potential data risk associated with the transformation.,2,2,51.65,Open
RSK-00188,TR-0028,Cybersecurity risk for CRM Transformation Program 028,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,4,69.88,Accepted
RSK-00189,TR-0028,People & Change risk for CRM Transformation Program 028,People & Change,Potential people & change risk associated with the transformation.,3,3,85.02,Open
RSK-00190,TR-0029,Cybersecurity risk for CRM Transformation Program 029,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,5,77.18,Open
RSK-00191,TR-0029,Financial risk for CRM Transformation Program 029,Financial,Potential financial risk associated with the transformation.,3,3,33.78,Mitigated
RSK-00192,TR-0029,Operational risk for CRM Transformation Program 029,Operational,Potential operational risk associated with the transformation.,3,3,80.03,Open
RSK-00193,TR-0029,Compliance risk for CRM Transformation Program 029,Compliance,Potential compliance risk associated with the transformation.,1,2,66.55,Monitoring
RSK-00194,TR-0029,Technology risk for CRM Transformation Program 029,Technology,Potential technology risk associated with the transformation.,3,5,80.31,Mitigated
RSK-00195,TR-0029,People & Change risk for CRM Transformation Program 029,People & Change,Potential people & change risk associated with the transformation.,3,2,81.38,Open
RSK-00196,TR-0029,Vendor & Dependency risk for CRM Transformation Program 029,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,4,33.34,Monitoring
RSK-00197,TR-0029,Data risk for CRM Transformation Program 029,Data,Potential data risk associated with the transformation.,5,4,53.68,Mitigated
RSK-00198,TR-0030,Cybersecurity risk for Data Platform Modernization Program 030,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,4,57.84,Monitoring
RSK-00199,TR-0030,People & Change risk for Data Platform Modernization Program 030,People & Change,Potential people & change risk associated with the transformation.,3,4,84.35,Open
RSK-00200,TR-0030,Vendor & Dependency risk for Data Platform Modernization Program 030,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,4,59.0,Open
RSK-00201,TR-0030,Financial risk for Data Platform Modernization Program 030,Financial,Potential financial risk associated with the transformation.,4,5,71.92,Mitigated
RSK-00202,TR-0030,Compliance risk for Data Platform Modernization Program 030,Compliance,Potential compliance risk associated with the transformation.,5,3,66.48,Open
RSK-00203,TR-0030,Technology risk for Data Platform Modernization Program 030,Technology,Potential technology risk associated with the transformation.,5,2,51.8,Mitigated
