control_id,risk_id,control_name,control_type,control_owner,control_frequency,effectiveness_score,control_status,description
CTRL-00068,RSK-00067,Technology Control 068,Corrective,Control Owner 19,Per Transaction,94.63,Effective,Management control designed to reduce transformation risk.
CTRL-00069,RSK-00067,Technology Control 069,Preventive,Control Owner 23,Weekly,34.87,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00070,RSK-00068,Cybersecurity Control 070,Detective,Control Owner 06,Weekly,58.91,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00071,RSK-00070,People & Change Control 071,Preventive,Control Owner 22,Per Transaction,60.67,Effective,Management control designed to reduce transformation risk.
CTRL-00072,RSK-00070,People & Change Control 072,Corrective,Control Owner 07,Per Transaction,30.79,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00073,RSK-00072,Technology Control 073,Preventive,Control Owner 19,Per Transaction,91.1,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00074,RSK-00073,Cybersecurity Control 074,Corrective,Control Owner 25,Daily,46.81,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00075,RSK-00075,Operational Control 075,Corrective,Control Owner 01,Quarterly,81.21,Effective,Management control designed to reduce transformation risk.
CTRL-00076,RSK-00076,Data Control 076,Corrective,Control Owner 02,Monthly,65.8,Effective,Management control designed to reduce transformation risk.
CTRL-00077,RSK-00077,Financial Control 077,Preventive,Control Owner 10,Per Transaction,65.81,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00078,RSK-00077,Financial Control 078,Preventive,Control Owner 28,Quarterly,84.6,Weak,Management control designed to reduce transformation risk.
CTRL-00079,RSK-00081,Data Control 079,Detective,Control Owner 21,Per Transaction,84.62,Effective,Management control designed to reduce transformation risk.
CTRL-00080,RSK-00081,Data Control 080,Corrective,Control Owner 16,Weekly,31.62,Effective,Management control designed to reduce transformation risk.
CTRL-00081,RSK-00082,Financial Control 081,Corrective,Control Owner 18,Per Transaction,38.1,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00082,RSK-00082,Financial Control 082,Preventive,Control Owner 30,Monthly,91.73,Weak,Management control designed to reduce transformation risk.
CTRL-00083,RSK-00083,Vendor & Dependency Control 083,Detective,Control Owner 17,Per Transaction,84.1,Effective,Management control designed to reduce transformation risk.
CTRL-00084,RSK-00083,Vendor & Dependency Control 084,Detective,Control Owner 02,Weekly,72.64,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00085,RSK-00084,People & Change Control 085,Detective,Control Owner 10,Monthly,91.89,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00086,RSK-00084,People & Change Control 086,Detective,Control Owner 23,Weekly,45.78,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00087,RSK-00085,Technology Control 087,Corrective,Control Owner 18,Per Transaction,78.41,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00088,RSK-00085,Technology Control 088,Detective,Control Owner 05,Monthly,68.27,Effective,Management control designed to reduce transformation risk.
CTRL-00089,RSK-00086,Operational Control 089,Detective,Control Owner 16,Per Transaction,37.72,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00090,RSK-00090,Financial Control 090,Corrective,Control Owner 22,Quarterly,42.69,Effective,Management control designed to reduce transformation risk.
CTRL-00091,RSK-00091,People & Change Control 091,Detective,Control Owner 09,Daily,50.81,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00092,RSK-00091,People & Change Control 092,Detective,Control Owner 28,Weekly,84.73,Effective,Management control designed to reduce transformation risk.
CTRL-00093,RSK-00093,Technology Control 093,Corrective,Control Owner 17,Daily,67.83,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00094,RSK-00093,Technology Control 094,Preventive,Control Owner 20,Per Transaction,63.73,Effective,Management control designed to reduce transformation risk.
CTRL-00095,RSK-00094,Vendor & Dependency Control 095,Detective,Control Owner 23,Daily,41.72,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00096,RSK-00096,People & Change Control 096,Corrective,Control Owner 16,Per Transaction,78.53,Effective,Management control designed to reduce transformation risk.
CTRL-00097,RSK-00096,People & Change Control 097,Corrective,Control Owner 18,Weekly,60.44,Effective,Management control designed to reduce transformation risk.
CTRL-00098,RSK-00097,Compliance Control 098,Corrective,Control Owner 05,Weekly,86.88,Effective,Management control designed to reduce transformation risk.
CTRL-00099,RSK-00097,Compliance Control 099,Detective,Control Owner 07,Per Transaction,78.26,Effective,Management control designed to reduce transformation risk.
CTRL-00100,RSK-00098,Operational Control 100,Corrective,Control Owner 29,Per Transaction,64.76,Effective,Management control designed to reduce transformation risk.
CTRL-00101,RSK-00098,Operational Control 101,Preventive,Control Owner 10,Monthly,63.19,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00102,RSK-00102,Compliance Control 102,Detective,Control Owner 17,Per Transaction,54.65,Effective,Management control designed to reduce transformation risk.
CTRL-00103,RSK-00107,Technology Control 103,Preventive,Control Owner 25,Quarterly,88.63,Effective,Management control designed to reduce transformation risk.
CTRL-00104,RSK-00107,Technology Control 104,Preventive,Control Owner 18,Quarterly,67.43,Effective,Management control designed to reduce transformation risk.
CTRL-00105,RSK-00108,Technology Control 105,Detective,Control Owner 10,Weekly,49.27,Effective,Management control designed to reduce transformation risk.
CTRL-00106,RSK-00108,Technology Control 106,Preventive,Control Owner 21,Quarterly,87.06,Effective,Management control designed to reduce transformation risk.
CTRL-00107,RSK-00109,Compliance Control 107,Detective,Control Owner 15,Weekly,54.79,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00108,RSK-00109,Compliance Control 108,Preventive,Control Owner 26,Weekly,31.32,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00109,RSK-00110,Vendor & Dependency Control 109,Preventive,Control Owner 16,Daily,72.93,Effective,Management control designed to reduce transformation risk.
CTRL-00110,RSK-00110,Vendor & Dependency Control 110,Detective,Control Owner 10,Per Transaction,67.96,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00111,RSK-00111,Data Control 111,Detective,Control Owner 11,Daily,56.96,Weak,Management control designed to reduce transformation risk.
CTRL-00112,RSK-00111,Data Control 112,Corrective,Control Owner 05,Weekly,41.37,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00113,RSK-00113,Operational Control 113,Corrective,Control Owner 03,Quarterly,45.31,Effective,Management control designed to reduce transformation risk.
CTRL-00114,RSK-00113,Operational Control 114,Preventive,Control Owner 02,Quarterly,72.11,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00115,RSK-00114,Vendor & Dependency Control 115,Corrective,Control Owner 08,Monthly,64.86,Weak,Management control designed to reduce transformation risk.
CTRL-00116,RSK-00115,Technology Control 116,Corrective,Control Owner 20,Quarterly,59.85,Effective,Management control designed to reduce transformation risk.
CTRL-00117,RSK-00115,Technology Control 117,Corrective,Control Owner 19,Daily,86.19,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00118,RSK-00118,Data Control 118,Preventive,Control Owner 30,Weekly,64.69,Weak,Management control designed to reduce transformation risk.
CTRL-00119,RSK-00118,Data Control 119,Corrective,Control Owner 04,Per Transaction,94.75,Effective,Management control designed to reduce transformation risk.
CTRL-00120,RSK-00120,Financial Control 120,Detective,Control Owner 07,Quarterly,62.1,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00121,RSK-00120,Financial Control 121,Corrective,Control Owner 14,Monthly,31.23,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00122,RSK-00121,Compliance Control 122,Detective,Control Owner 12,Monthly,38.49,Effective,Management control designed to reduce transformation risk.
CTRL-00123,RSK-00122,People & Change Control 123,Preventive,Control Owner 10,Monthly,79.16,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00124,RSK-00123,Cybersecurity Control 124,Corrective,Control Owner 04,Weekly,87.03,Effective,Management control designed to reduce transformation risk.
CTRL-00125,RSK-00125,Data Control 125,Detective,Control Owner 19,Monthly,49.41,Effective,Management control designed to reduce transformation risk.
CTRL-00126,RSK-00126,Data Control 126,Preventive,Control Owner 29,Monthly,56.9,Weak,Management control designed to reduce transformation risk.
CTRL-00127,RSK-00126,Data Control 127,Preventive,Control Owner 17,Per Transaction,77.67,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00128,RSK-00127,Operational Control 128,Corrective,Control Owner 17,Monthly,45.23,Effective,Management control designed to reduce transformation risk.
CTRL-00129,RSK-00127,Operational Control 129,Corrective,Control Owner 26,Weekly,72.51,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00130,RSK-00131,Cybersecurity Control 130,Corrective,Control Owner 05,Per Transaction,86.27,Effective,Management control designed to reduce transformation risk.
CTRL-00131,RSK-00132,People & Change Control 131,Detective,Control Owner 30,Monthly,31.93,Effective,Management control designed to reduce transformation risk.
CTRL-00132,RSK-00133,Operational Control 132,Corrective,Control Owner 30,Daily,47.87,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00133,RSK-00135,Financial Control 133,Preventive,Control Owner 15,Monthly,34.58,Effective,Management control designed to reduce transformation risk.
CTRL-00134,RSK-00136,Data Control 134,Corrective,Control Owner 05,Monthly,46.27,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00135,RSK-00137,Compliance Control 135,Corrective,Control Owner 12,Monthly,31.59,Weak,Management control designed to reduce transformation risk.
CTRL-00136,RSK-00138,Vendor & Dependency Control 136,Preventive,Control Owner 27,Quarterly,47.83,Effective,Management control designed to reduce transformation risk.
CTRL-00137,RSK-00138,Vendor & Dependency Control 137,Corrective,Control Owner 23,Daily,72.94,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00138,RSK-00140,Data Control 138,Detective,Control Owner 03,Quarterly,49.72,Effective,Management control designed to reduce transformation risk.
CTRL-00139,RSK-00140,Data Control 139,Detective,Control Owner 26,Quarterly,53.67,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00140,RSK-00142,Cybersecurity Control 140,Preventive,Control Owner 18,Per Transaction,61.8,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00141,RSK-00142,Cybersecurity Control 141,Corrective,Control Owner 26,Monthly,81.39,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00142,RSK-00143,Technology Control 142,Preventive,Control Owner 16,Weekly,79.99,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00143,RSK-00143,Technology Control 143,Corrective,Control Owner 26,Daily,87.43,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00144,RSK-00144,Financial Control 144,Corrective,Control Owner 13,Daily,43.18,Weak,Management control designed to reduce transformation risk.
CTRL-00145,RSK-00144,Financial Control 145,Preventive,Control Owner 06,Quarterly,58.25,Effective,Management control designed to reduce transformation risk.
CTRL-00146,RSK-00146,Technology Control 146,Detective,Control Owner 20,Quarterly,90.0,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00147,RSK-00147,Compliance Control 147,Corrective,Control Owner 29,Quarterly,50.92,Effective,Management control designed to reduce transformation risk.
CTRL-00148,RSK-00148,Data Control 148,Preventive,Control Owner 05,Quarterly,93.26,Effective,Management control designed to reduce transformation risk.
CTRL-00149,RSK-00148,Data Control 149,Corrective,Control Owner 15,Quarterly,73.89,Effective,Management control designed to reduce transformation risk.
CTRL-00150,RSK-00150,Financial Control 150,Preventive,Control Owner 17,Weekly,65.71,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00151,RSK-00153,Cybersecurity Control 151,Corrective,Control Owner 28,Quarterly,71.51,Effective,Management control designed to reduce transformation risk.
CTRL-00152,RSK-00154,Technology Control 152,Detective,Control Owner 27,Daily,85.22,Effective,Management control designed to reduce transformation risk.
CTRL-00153,RSK-00157,People & Change Control 153,Preventive,Control Owner 19,Daily,59.07,Effective,Management control designed to reduce transformation risk.
CTRL-00154,RSK-00158,Data Control 154,Detective,Control Owner 26,Daily,33.45,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00155,RSK-00158,Data Control 155,Corrective,Control Owner 07,Weekly,41.43,Effective,Management control designed to reduce transformation risk.
CTRL-00156,RSK-00161,Cybersecurity Control 156,Detective,Control Owner 09,Weekly,32.53,Weak,Management control designed to reduce transformation risk.
CTRL-00157,RSK-00162,Technology Control 157,Corrective,Control Owner 10,Quarterly,43.98,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00158,RSK-00162,Technology Control 158,Detective,Control Owner 14,Per Transaction,82.17,Effective,Management control designed to reduce transformation risk.
CTRL-00159,RSK-00163,Operational Control 159,Detective,Control Owner 13,Quarterly,86.56,Effective,Management control designed to reduce transformation risk.
CTRL-00160,RSK-00164,Financial Control 160,Detective,Control Owner 09,Monthly,40.12,Weak,Management control designed to reduce transformation risk.
CTRL-00161,RSK-00164,Financial Control 161,Preventive,Control Owner 03,Weekly,59.56,Effective,Management control designed to reduce transformation risk.
CTRL-00162,RSK-00165,Compliance Control 162,Corrective,Control Owner 11,Daily,82.71,Effective,Management control designed to reduce transformation risk.
CTRL-00163,RSK-00166,Vendor & Dependency Control 163,Detective,Control Owner 10,Quarterly,40.24,Effective,Management control designed to reduce transformation risk.
CTRL-00164,RSK-00166,Vendor & Dependency Control 164,Preventive,Control Owner 21,Per Transaction,72.91,Effective,Management control designed to reduce transformation risk.
CTRL-00165,RSK-00167,Operational Control 165,Preventive,Control Owner 24,Quarterly,35.04,Weak,Management control designed to reduce transformation risk.
CTRL-00166,RSK-00168,Financial Control 166,Preventive,Control Owner 11,Monthly,79.4,Weak,Management control designed to reduce transformation risk.
CTRL-00167,RSK-00168,Financial Control 167,Preventive,Control Owner 09,Daily,52.61,Weak,Management control designed to reduce transformation risk.
CTRL-00168,RSK-00169,Data Control 168,Preventive,Control Owner 15,Monthly,77.36,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00169,RSK-00171,People & Change Control 169,Corrective,Control Owner 12,Monthly,56.0,Effective,Management control designed to reduce transformation risk.
CTRL-00170,RSK-00171,People & Change Control 170,Preventive,Control Owner 16,Quarterly,61.1,Weak,Management control designed to reduce transformation risk.
CTRL-00171,RSK-00172,Data Control 171,Corrective,Control Owner 11,Quarterly,58.88,Effective,Management control designed to reduce transformation risk.
CTRL-00172,RSK-00172,Data Control 172,Detective,Control Owner 25,Per Transaction,49.3,Effective,Management control designed to reduce transformation risk.
CTRL-00173,RSK-00173,Compliance Control 173,Preventive,Control Owner 15,Monthly,52.52,Effective,Management control designed to reduce transformation risk.
CTRL-00174,RSK-00175,Operational Control 174,Detective,Control Owner 18,Per Transaction,88.58,Effective,Management control designed to reduce transformation risk.
CTRL-00175,RSK-00177,Cybersecurity Control 175,Detective,Control Owner 11,Per Transaction,62.93,Effective,Management control designed to reduce transformation risk.
CTRL-00176,RSK-00179,Compliance Control 176,Corrective,Control Owner 19,Monthly,47.38,Effective,Management control designed to reduce transformation risk.
CTRL-00177,RSK-00181,Technology Control 177,Corrective,Control Owner 02,Monthly,46.85,Effective,Management control designed to reduce transformation risk.
CTRL-00178,RSK-00181,Technology Control 178,Detective,Control Owner 28,Per Transaction,50.57,Effective,Management control designed to reduce transformation risk.
CTRL-00179,RSK-00182,Technology Control 179,Detective,Control Owner 23,Monthly,89.1,Effective,Management control designed to reduce transformation risk.
CTRL-00180,RSK-00183,Vendor & Dependency Control 180,Preventive,Control Owner 20,Weekly,38.53,Effective,Management control designed to reduce transformation risk.
CTRL-00181,RSK-00183,Vendor & Dependency Control 181,Preventive,Control Owner 11,Daily,80.64,Effective,Management control designed to reduce transformation risk.
CTRL-00182,RSK-00186,Financial Control 182,Detective,Control Owner 12,Quarterly,70.11,Effective,Management control designed to reduce transformation risk.
CTRL-00183,RSK-00187,Data Control 183,Preventive,Control Owner 01,Daily,64.44,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00184,RSK-00187,Data Control 184,Preventive,Control Owner 17,Weekly,90.07,Weak,Management control designed to reduce transformation risk.
CTRL-00185,RSK-00188,Cybersecurity Control 185,Corrective,Control Owner 28,Daily,34.24,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00186,RSK-00189,People & Change Control 186,Corrective,Control Owner 16,Per Transaction,89.93,Effective,Management control designed to reduce transformation risk.
CTRL-00187,RSK-00190,Cybersecurity Control 187,Preventive,Control Owner 18,Monthly,72.82,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00188,RSK-00193,Compliance Control 188,Detective,Control Owner 01,Per Transaction,55.83,Effective,Management control designed to reduce transformation risk.
CTRL-00189,RSK-00194,Technology Control 189,Detective,Control Owner 13,Weekly,34.87,Effective,Management control designed to reduce transformation risk.
CTRL-00190,RSK-00196,Vendor & Dependency Control 190,Detective,Control Owner 20,Quarterly,50.06,Weak,Management control designed to reduce transformation risk.
CTRL-00191,RSK-00196,Vendor & Dependency Control 191,Detective,Control Owner 30,Quarterly,68.05,Effective,Management control designed to reduce transformation risk.
CTRL-00192,RSK-00197,Data Control 192,Detective,Control Owner 05,Per Transaction,78.72,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00193,RSK-00197,Data Control 193,Corrective,Control Owner 23,Daily,31.09,Weak,Management control designed to reduce transformation risk.
CTRL-00194,RSK-00198,Cybersecurity Control 194,Preventive,Control Owner 30,Per Transaction,41.79,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00195,RSK-00199,People & Change Control 195,Corrective,Control Owner 18,Weekly,79.27,Effective,Management control designed to reduce transformation risk.
CTRL-00196,RSK-00199,People & Change Control 196,Preventive,Control Owner 14,Weekly,32.99,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00197,RSK-00200,Vendor & Dependency Control 197,Corrective,Control Owner 18,Weekly,56.56,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00198,RSK-00200,Vendor & Dependency Control 198,Detective,Control Owner 07,Monthly,63.64,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00199,RSK-00201,Financial Control 199,Corrective,Control Owner 01,Per Transaction,57.82,Effective,Management control designed to reduce transformation risk.
CTRL-00200,RSK-00202,Compliance Control 200,Detective,Control Owner 28,Weekly,65.14,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00201,RSK-00202,Compliance Control 201,Detective,Control Owner 20,Daily,47.85,Effective,Management control designed to reduce transformation risk.
CTRL-00202,RSK-00203,Technology Control 202,Corrective,Control Owner 06,Quarterly,56.14,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00203,RSK-00203,Technology Control 203,Detective,Control Owner 06,Weekly,89.08,Effective,Management control designed to reduce transformation risk.
CTRL-00204,RSK-00205,Technology Control 204,Preventive,Control Owner 10,Monthly,78.11,Effective,Management control designed to reduce transformation risk.
CTRL-00205,RSK-00205,Technology Control 205,Corrective,Control Owner 25,Per Transaction,30.7,Effective,Management control designed to reduce transformation risk.
